E.coli date,E.coli value,Max flow date (past 24 hours),Max flow value (past 24 hours),Max flow value (past 120 hours),Total flow value (past 120 hours)
2016-11-30,440.0,2016-11-29,1500.35,3537.78,10982.99
2016-12-07,25.0,2016-12-06,1537.0,2890.25,9672.16
2016-12-13,30.0,2016-12-12,2502.4,4514.57,10193.449999999999
2016-12-20,80.0,2016-12-19,1537.0,11250.38,24271.059999999998
2016-12-29,25.0,2016-12-28,1549.32,2471.34,7905.700000000001
2017-01-05,21.0,2017-01-04,5397.09,13132.69,33040.31
2017-01-10,150.0,2017-01-09,1611.75,3706.77,12328.91
2017-01-17,16.0,2017-01-16,12980.58,12980.58,36515.4
2017-01-25,38.0,2017-01-24,8992.76,8992.76,30901.21
2017-01-31,81.0,2017-01-30,1834.02,12321.48,22490.67
2017-02-08,16.0,2017-02-07,3434.92,37671.85,89467.75
2017-02-14,53.0,2017-02-13,1873.84,4448.49,14031.77
2017-02-21,75.0,2017-02-20,1419.2,4523.02,11460.509999999998
2017-02-28,70.0,2017-02-27,743.9,1009.54,4312.0599999999995
2017-03-07,68.0,2017-03-06,600.47,784.23,3187.02
2017-03-14,48.0,2017-03-13,7599.42,7599.42,11094.08
2017-03-21,1000.0,2017-03-20,543.13,980.49,3523.25
2017-03-28,63.0,2017-03-27,4538.23,12985.96,33057.36
2017-04-04,900.0,2017-04-03,4351.33,4351.33,11182.38
2017-04-11,34.0,2017-04-10,2336.0,13669.71,30037.699999999997
2017-04-19,30.0,2017-04-18,4514.67,11745.06,28344.39
2017-04-27,92.0,2017-04-26,899.24,1421.68,5665.83
2017-11-06,63.0,2017-11-05,2155.97,4171.43,8838.17
2017-11-12,10.0,2017-11-11,780.47,4815.04,8792.36
2017-11-21,63.0,2017-11-20,460.99,548.35,2519.27
2017-11-29,158.0,2017-11-28,377.18,417.02,1973.51
2017-12-03,20.0,2017-12-02,345.41,667.53,2363.5
2017-12-12,52.0,2017-12-11,789.05,789.05,1968.8
2017-12-18,20.0,2017-12-17,262.39,313.71,1422.43
2017-12-27,86.0,2017-12-26,262.39,262.39,1197.87
2018-01-03,97.0,2018-01-02,230.92,262.39,1201.81
2018-01-08,109.0,2018-01-07,1236.17,1590.33,3708.7100000000005
2018-01-14,118.0,2018-01-13,888.88,9085.02,17923.31
2018-02-04,120.0,2018-02-03,7674.52,7674.52,9528.220000000001
2018-02-13,122.0,2018-02-12,18183.64,18183.64,19577.21
2018-02-19,120.0,2018-02-18,1393.8,3042.11,10241.4
2018-02-25,63.0,2018-02-24,2499.05,41760.06,50033.659999999996
2018-03-06,110.0,2018-03-05,963.32,2756.68,7603.379999999999
2018-03-12,52.0,2018-03-11,692.68,1935.79,5295.58
2018-03-18,10.0,2018-03-17,543.9,599.37,2847.6699999999996
2018-03-27,10.0,2018-03-26,11766.66,11766.66,36013.3
2018-04-05,52.0,2018-04-04,840.8,1490.97,5573.219999999999
2018-04-08,63.0,2018-04-07,678.83,913.13,4001.0299999999997
2018-04-15,20.0,2018-04-14,9271.2,14547.52,29476.780000000002
2018-04-23,20.0,2018-04-22,1346.77,3121.96,10177.09
2018-11-12,10.0,2018-11-11,5765.84,14257.9,33843.55
2018-11-18,86.0,2018-11-17,972.08,1774.78,6517.12
2018-11-26,495.0,2018-11-25,579.06,963.69,3564.29
2018-12-02,52.0,2018-12-01,548.88,1655.53,5219.370000000001
2018-12-10,97.0,2018-12-09,480.76,3257.44,6266.35
2018-12-16,,2018-12-15,453.05,603.95,2383.58
2018-12-24,10.0,2018-12-23,1124.54,1566.26,3419.8300000000004
2018-12-30,379.0,2018-12-29,548.88,1339.27,3977.0699999999997
2019-01-07,932.0,2019-01-06,1017.02,5765.84,10944.640000000001
2019-01-13,73.0,2019-01-12,1017.02,6126.92,10508.029999999999
2019-01-22,63.0,2019-01-21,1815.65,1815.65,5219.349999999999
2019-01-27,457.0,2019-01-26,662.44,1455.95,3990.6800000000003
2019-02-04,,2019-02-03,2057.77,2057.77,5951.52
2019-02-10,85.0,2019-02-09,475.36,603.95,2734.1000000000004
2019-02-18,73.0,2019-02-17,514.06,1432.11,3266.2200000000003
2019-02-24,504.0,2019-02-23,12436.68,12436.68,13970.65
2019-03-04,96.0,2019-03-03,655.77,1186.35,4342.84
2019-03-10,31.0,2019-03-09,2331.81,2331.81,5480.7699999999995
2019-03-17,41.0,2019-03-16,1305.48,7568.85,13059.029999999999
2019-03-24,121.0,2019-03-23,525.5,703.33,3023.9
2019-04-01,784.0,2019-03-31,519.76,4547.89,9153.45
2019-04-07,85.0,2019-04-06,519.76,3762.44,7042.9400000000005
2019-04-15,86.0,2019-04-14,947.02,4890.25,11650.92
2019-04-29,1296.0,2019-04-28,486.21,554.83,2359.82
