day,1 day,7 days max,7 days total
2016-11-29,1500.35,3537.78,15354.66
2016-12-06,1537.0,10829.51,21814.67
2016-12-12,2502.4,4514.57,12962.869999999999
2016-12-19,1537.0,11250.38,26474.539999999997
2016-12-28,1549.32,2471.34,11773.960000000003
2017-01-04,5397.09,13132.69,40270.67
2017-01-09,1611.75,13132.69,30858.690000000002
2017-01-16,12980.58,12980.58,44159.840000000004
2017-01-24,8992.76,8992.76,37557.61
2017-01-30,1834.02,12321.48,34833.14
2017-02-07,3434.92,37671.85,97352.98
2017-02-13,1873.84,25287.26,42753.95
2017-02-20,1419.2,4523.02,17054.329999999998
2017-02-27,743.9,1349.44,6771.4400000000005
2017-03-06,600.47,784.23,4550.41
2017-03-13,7599.42,7599.42,13227.75
2017-03-20,543.13,3491.04,9584.58
2017-03-27,4538.23,12985.96,34260.0
2017-04-03,4351.33,4351.33,15193.55
2017-04-10,2336.0,17289.42,52372.85999999999
2017-04-18,4514.67,11745.06,32739.989999999998
2017-04-26,899.24,2064.38,9435.119999999999
2017-11-05,2155.97,4171.43,10666.86
2017-11-11,780.47,4815.04,12322.03
2017-11-20,460.99,608.99,3696.21
2017-11-28,377.18,432.99,2831.51
2017-12-02,345.41,667.53,3141.74
2017-12-11,789.05,789.05,2604.14
2017-12-17,262.39,789.05,2722.48
2017-12-26,262.39,329.55,1777.9999999999998
2018-01-02,230.92,879.3,2458.29
2018-01-07,1236.17,1590.33,4166.630000000001
2018-01-13,888.88,9085.02,19489.03
2018-02-03,7674.52,7674.52,15638.220000000001
2018-02-12,18183.64,18183.64,20355.46
2018-02-18,1393.8,40077.3,68502.34
2018-02-24,2499.05,41760.06,52483.979999999996
2018-03-05,963.32,12679.05,23110.18
2018-03-11,692.68,1935.79,7123.42
2018-03-17,543.9,692.68,4172.07
2018-03-26,11766.66,11766.66,36894.380000000005
2018-04-04,840.8,10441.19,18530.2
2018-04-07,678.83,1201.1,6329.35
2018-04-14,9271.2,14547.52,30714.47
2018-04-22,1346.77,11042.39,23026.94
2018-11-11,5765.84,14257.9,46893.83
2018-11-17,972.08,5765.84,14599.2
2018-11-25,579.06,1144.9,5498.85
2018-12-01,548.88,1655.53,6565.93
2018-12-09,480.76,3257.44,7241.889999999999
2018-12-23,1124.54,1566.26,4272.6900000000005
2018-12-29,548.88,1339.27,5921.389999999999
2019-01-06,1017.02,5765.84,14218.430000000002
2019-01-12,1017.02,6126.92,12455.58
2019-01-21,1815.65,9208.09,15732.92
2019-01-26,662.44,1815.65,6745.08
2019-02-09,475.36,2057.77,5481.4
2019-02-17,514.06,1432.11,4143.38
2019-02-23,12436.68,12436.68,14877.58
2019-03-03,655.77,3782.63,10364.7
2019-03-09,2331.81,2331.81,6740.49
2019-03-16,1305.48,7568.85,16015.55
2019-03-23,525.5,922.34,4728.47
2019-03-31,519.76,4547.89,10094.53
2019-04-06,519.76,3762.44,8038.06
2019-04-14,947.02,4890.25,12879.230000000001
2019-04-28,486.21,662.44,3595.2000000000003
