E.coli date,E.coli value,Max rainfall date (past 24 hours),Max rainfall value (past 24 hours),Max rainfall value (past 168 hours),Total rainfall value (past 168 hours)
2015-02-25,380.0,2015-02-24,2.48,4.5,7.61
2015-03-04,490.0,2015-03-03,0.0,0.75,1.2
2015-03-11,190.0,2015-03-10,0.13,22.93,50.540000000000006
2015-03-18,62.0,2015-03-17,1.13,1.88,3.09
2015-03-25,38.0,2015-03-24,0.0,1.83,3.01
2015-03-31,2700.0,2015-03-30,6.38,12.2,25.419999999999998
2015-04-08,9700.0,2015-04-07,7.25,7.25,7.65
2015-04-15,350.0,2015-04-14,5.6,34.85,112.47999999999999
2015-04-22,500.0,2015-04-21,0.3,5.95,10.490000000000002
2015-04-29,4500.0,2015-04-28,30.53,35.25,66.19999999999999
2015-11-04,7900.0,2015-11-03,6.68,29.98,57.190000000000005
2015-11-11,1200.0,2015-11-10,1.88,8.57,13.3
2015-11-18,520.0,2015-11-17,0.68,8.25,21.740000000000002
2015-12-02,1800.0,2015-12-01,13.88,16.75,53.09000000000001
2015-12-09,460.0,2015-12-08,0.0,8.95,16.73
2015-12-16,370.0,2015-12-15,0.0,5.38,14.809999999999999
2015-12-22,520.0,2015-12-21,1.5,4.5,8.7
2015-12-29,,2015-12-28,0.0,4.28,6.71
2016-01-06,120.0,2016-01-05,0.15,16.02,37.81
2016-01-13,110.0,2016-01-12,0.0,5.88,9.41
2016-01-20,1300.0,2016-01-19,21.13,21.13,38.01
2016-01-27,210.0,2016-01-26,0.0,6.85,14.61
2016-02-03,25.0,2016-02-02,0.5,5.13,9.11
2016-02-10,340.0,2016-02-09,0.25,0.3,0.55
2016-02-17,78.0,2016-02-16,0.13,0.15,0.28
2016-02-24,300.0,2016-02-23,0.0,26.08,54.69
2016-03-02,79.0,2016-03-01,0.0,0.38,0.61
2016-03-09,1500.0,2016-03-08,0.73,0.73,1.1099999999999999
2016-03-16,1500.0,2016-03-15,6.4,6.4,9.040000000000001
2016-03-22,750.0,2016-03-21,0.0,6.4,18.28
2016-03-30,89.0,2016-03-29,0.15,6.0,10.0
2016-04-06,290.0,2016-04-05,0.45,23.75,47.81
2016-04-13,410.0,2016-04-12,2.5,4.38,9.51
