date,ecoli_value,rainfall_site,flow_site1,flow_site2,rain_mm_day0,rain_mm_prior24h,rain_mm_prior48h,rain_mm_prior72h,rain_mm_prior7d,flowsite1_max_day0,flowsite1_max_prior24h,flowsite1_max_prior48h,flowsite1_max_prior72h,flowsite1_max_prior7d,flowsite2_max_day0,flowsite2_max_prior24h,flowsite2_max_prior48h,flowsite2_max_prior72h,flowsite2_max_prior7d
25/2/18 0:00,63,Ohau at Makahika,Waikawa at North Manakau Road,,0.5,0,0,20,44.5,1592.31,2499.05,44259.11,46791.71,52483.98,,,,,
6/3/18 0:00,110,Ohau at Makahika,Waikawa at North Manakau Road,,9.5,0,0,0,5.5,864.52,963.32,2049.75,3305.58,23110.18,,,,,
12/3/18 0:00,52,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0.5,30,631.72,692.68,1549.25,2487.28,7123.42,,,,,
18/3/18 0:00,10,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,2,4.5,5,593.03,543.9,1118.18,1680.18,4172.07,,,,,
27/3/18 0:00,10,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,2.5,16,42.51,1528.49,11766.66,23239.68,24950.96,36894.38,,,,,
5/4/18 0:00,52,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,5,5,7,832.98,840.8,1753.93,2881.15,18530.2,,,,,
8/4/18 0:00,63,Ohau at Makahika,Waikawa at North Manakau Road,,0,1.5,1.5,1.5,6.5,638.32,678.83,1414.12,2247.1,6329.35,,,,,
15/4/18 0:00,20,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0.5,30.01,101.01,2499.05,9271.2,23818.72,28253.98,30714.47,,,,,
23/4/18 0:00,20,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,1,4,44.5,1201.1,1346.77,2900.59,4736.11,23026.94,,,,,
12/11/18 0:00,10,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0.5,24,45.01,2316.24,5765.84,20023.74,31060.28,46893.83,,,,,
18/11/18 0:00,86,Ohau at Makahika,Waikawa at North Manakau Road,,6,0,0,0,0,882.05,972.08,2046.82,3286.39,14599.2,,,,,
26/11/18 0:00,495,Ohau at Makahika,Waikawa at North Manakau Road,,19.65,5.5,6.5,6.5,15,767.5,579.06,1234.83,2198.52,5498.85,,,,,
2/12/18 0:00,52,Ohau at Makahika,Waikawa at North Manakau Road,,0.5,2,2,2,39,508.41,548.88,1171.95,2022.53,6565.93,,,,,
10/12/18 0:00,97,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,39,457.25,480.76,1072.18,2196.72,7241.89,,,,,
16/12/18 0:00,,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,1.5,30,42.5,436.51,453.05,918.77,1522.72,3321.59,,,,,
24/12/18 0:00,10,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,1.5,2.5,87,819.78,1124.54,2690.8,2690.8,,,,,,
30/12/18 0:00,379,Ohau at Makahika,Waikawa at North Manakau Road,,7,0.5,0.5,0.5,23,514.06,548.88,1159.16,1941.39,5921.39,,,,,
7/1/19 0:00,932,Ohau at Makahika,Waikawa at North Manakau Road,,17,2.5,2.5,2.5,31,930.53,1017.02,2595.85,8361.69,14218.43,,,,,
13/1/19 0:00,73,Ohau at Makahika,Waikawa at North Manakau Road,,1,0,0.5,6,25.5,760.21,1017.02,2267.42,3141.54,12455.58,,,,,
22/1/19 0:00,63,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,4,7.5,7.5,682.69,1815.65,2754.4,3492.96,15732.92,,,,,
