date,ecoli_value,rain_day0_mm,rain_prior24h_mm,rain_prior48h_mm,rain_prior72h_mm
30/11/16 0:00,1300,32.51,1,1,8
7/12/16 0:00,34,0.5,0,0,2.5
13/12/16 0:00,140,0,2.5,4,20
20/12/16 0:00,130,0,42.5,43,43
29/12/16 0:00,98,19.01,14.63,30,30
5/1/17 0:00,64,0,0.5,22.49,34.03
10/1/17 0:00,660,20.49,10.49,10.49,10.49
17/1/17 0:00,98,0,0,39.49,39.49
25/1/17 0:00,76,27,0,23.5,44.5
31/1/17 0:00,110,8,10.5,10.5,10.5
8/2/17 0:00,100,0.5,38.01,40.01,40.51
14/2/17 0:00,44,0,10.5,19,19
21/2/17 0:00,80,0,1,2,2.5
28/2/17 0:00,99,0,0,0,0
7/3/17 0:00,59,2,6,7,10
14/3/17 0:00,98,9.5,8,30.5,50
21/3/17 0:00,120,0.93,2,2,2
28/3/17 0:00,95,0,0,5,29.01
4/4/17 0:00,1300,27.67,20,29,29
19/4/17 0:00,64,0.5,0,12,13
27/4/17 0:00,69,0,0,0,0
6/11/17 0:00,52,0.5,4.5,5,16.01
12/11/17 0:00,10,0,0,0,0
21/11/17 0:00,120,0,0,0,0
29/11/17 0:00,98,0,1,1,1
3/12/17 0:00,10,0,0,0,0
12/12/17 0:00,20,0,1.5,2,2
18/12/17 0:00,74,1,0,0,0
27/12/17 0:00,187,0,12.5,12.5,13
3/1/18 0:00,41,16,0,2,2
8/1/18 0:00,52,0.5,0,0,32.5
14/1/18 0:00,75,0,0,0,2.5
24/1/18 0:00,120,0,3.5,4.5,4.5
29/1/18 0:00,20,0,0,0,0
4/2/18 0:00,399,0,0,0.5,28.5
13/2/18 0:00,364,0,22.35,64.5,69
19/2/18 0:00,148,0.5,0,0,10.5
25/2/18 0:00,158,0.5,0,0,20
6/3/18 0:00,86,9.5,0,0,0
12/3/18 0:00,41,0,0,0,0.5
18/3/18 0:00,41,0,0,2,4.5
27/3/18 0:00,52,0,0,2.5,16
5/4/18 0:00,41,0,0,5,5
8/4/18 0:00,31,0,1.5,1.5,1.5
15/4/18 0:00,74,0,0,0.5,30.01
23/4/18 0:00,41,0,0,1,4
12/11/18 0:00,160,0,0,0.5,24
18/11/18 0:00,313,6,0,0,0
26/11/18 0:00,1664,19.65,5.5,6.5,6.5
2/12/18 0:00,52,0.5,2,2,2
10/12/18 0:00,52,0,0,0,0
16/12/18 0:00,20,0,0,1.5,30
24/12/18 0:00,74,0,0,1.5,2.5
30/12/18 0:00,108,7,0.5,0.5,0.5
7/1/19 0:00,1989,17,2.5,2.5,2.5
13/1/19 0:00,98,1,0,0.5,6
22/1/19 0:00,10,0,0,4,7.5
27/1/19 0:00,158,17,1,1,5.5
4/2/19 0:00,120,0,0,14.89,18.5
10/2/19 0:00,74,0,0,0,0
19/2/19 0:00,121,0,0,0,0
24/2/19 0:00,309,30.5,3.5,47.51,51.01
4/3/19 0:00,52,0,0,0,0
10/3/19 0:00,75,0,7.36,19.5,19.5
17/3/19 0:00,52,0,0,0,29.51
24/3/19 0:00,62,0.5,0,0,0
1/4/19 0:00,253,18,0,0,0
7/4/19 0:00,86,4.86,0,0,0
15/4/19 0:00,52,0,0,0,3
21/4/19 0:00,41,1,0,0,0
29/4/19 0:00,9800,38.5,6.5,16.5,16.5
4/11/19 0:00,10,0,0,0,0
10/11/19 0:00,556,15,0,0,0
18/11/19 0:00,512,10.54,67.46,77.96,91.96
24/11/19 0:00,41,1.33,0,0,0
2/12/19 0:00,121,3,1,1,1
8/12/19 0:00,3650,40.5,0,0,1
16/12/19 0:00,97,3.5,0,2,3
22/12/19 0:00,74,0,0,53,53
30/12/19 0:00,546,13.5,0,5.5,5.5
5/1/20 0:00,75,5,0,4,16
13/1/20 0:00,288,20,0,0,0
19/1/20 0:00,20,0,0,0,0
27/1/20 0:00,96,6,0,0,0
2/2/20 0:00,203,0,0,0,33.5
10/2/20 0:00,31,0,0,1,1
16/2/20 0:00,107,0,0,0,0
24/2/20 0:00,132,0,1,38.5,46.5
1/3/20 0:00,63,0,14.5,14.5,14.5
9/3/20 0:00,288,11,0,0,0
15/3/20 0:00,98,0,0,0,0
2/11/20 0:00,85,0,0.5,9.5,11
8/11/20 0:00,350,11.5,6.5,11,14
16/11/20 0:00,187,7,0,0,0
22/11/20 0:00,1086,9.5,2,2,2
30/11/20 0:00,259,14.5,45.5,46.5,53
6/12/20 0:00,110,0,6.5,6.5,26.5
14/12/20 0:00,52,0,0,0,2.5
20/12/20 0:00,9,0,0,0,0
28/12/20 0:00,98,0,0,0,0.5
3/1/21 0:00,86,3.5,0,0,0
11/1/21 0:00,108,0.5,0.5,0.5,14.5
17/1/21 0:00,145,9.5,0,0,0
26/1/21 0:00,109,1.5,0,14,19
31/1/21 0:00,20,0,0,0,0
9/2/21 0:00,86,0,0,0,0
14/2/21 0:00,31,0,0,0,0
22/2/21 0:00,63,0,0,0,0
1/3/21 0:00,86,0,0,0,0
8/3/21 0:00,437,0,27,32.5,32.5
14/3/21 0:00,63,0,0,0,22.5
28/3/21 0:00,52,1,0,0,0
5/4/21 0:00,2610,8.5,2.5,2.5,4
11/4/21 0:00,295,3,7.5,7.5,7.5
19/4/21 0:00,86,0,0,1.5,6.5
25/4/21 0:00,52,2.5,0.5,0.5,0.5
2/11/21 0:00,41,0,3.5,14,27.5
9/11/21 0:00,20,0,0,0,0
15/11/21 0:00,754,10.5,24.5,69,76.5
23/11/21 0:00,122,0,15,56.5,56.5
30/11/21 0:00,1785,39.5,12.5,21.5,21.5
7/12/21 0:00,24200,127,24.5,29,34
14/12/21 0:00,6490,43,8,51,57
21/12/21 0:00,241,13,0,0,0
28/12/21 0:00,86,22,0,0,0
4/1/22 0:00,10,0,0,0,0
11/1/22 0:00,201,4,0,0,0
18/1/22 0:00,52,0,0,0,0
25/1/22 0:00,135,2,0,0,0
1/2/22 0:00,63,0,0,0,0
8/2/22 0:00,231,0,0.5,26,119
15/2/22 0:00,134,0,0,0.5,34.5
22/2/22 0:00,203,0,0,69.5,69.5
1/3/22 0:00,161,0,0,0,0
8/3/22 0:00,110,0,0,0,0
15/3/22 0:00,75,0,0,0.5,1.5
22/3/22 0:00,145,4.5,9,9,9
29/3/22 0:00,86,0,0,0,0
5/4/22 0:00,275,3,0,0,0
12/4/22 0:00,216,0,0,0,0
20/4/22 0:00,226,0,5.5,5.5,5.5
27/4/22 0:00,63,0.5,0,0.5,0.5
1/11/22 0:00,85,0,5.5,22.5,24
7/11/22 0:00,31,0,0,0,4.5
14/11/22 0:00,110,0,6.5,11.5,14
21/11/22 0:00,1081,21,26.5,53,56
28/11/22 0:00,63,1.5,2,3,4.5
5/12/22 0:00,41,3,1,1.5,7
12/12/22 0:00,41,0.5,0,15,24
19/12/22 0:00,717,2.5,13,30,35
2/1/23 0:00,63,0,0,0,0
9/1/23 0:00,63,0,1.5,3.5,21.5
16/1/23 0:00,86,0,0,0,0
24/1/23 0:00,122,0,2,2,7.5
30/1/23 0:00,197,0,1,13.5,30
7/2/23 0:00,145,3,5.5,24,24.5
13/2/23 0:00,108,8,1,1,1
20/2/23 0:00,148,1,0,0,0
27/2/23 0:00,96,0,0,1,1
6/3/23 0:00,109,0,1,11.5,12.5
13/3/23 0:00,767,11.5,0,0,4.5
20/3/23 0:00,148,0.5,0,8,31.5
27/3/23 0:00,131,1.5,11.5,26.5,26.5
3/4/23 0:00,63,5,2.5,4.5,4.5
11/4/23 0:00,86,5,0.5,0.5,0.5
17/4/23 0:00,86,0,0,0,0
24/4/23 0:00,63,0,1.5,40,44
6/11/23 0:00,109,0,0,2.5,10
13/11/23 0:00,41,1,0,0,0
