date,ecoli_value,rain_day0_mm,rain_prior24h_mm,rain_prior48h_mm,rain_prior72h_mm
7/12/16 0:00,300,0.5,0,0,2.5
13/12/16 0:00,260,0,2.5,4,20
20/12/16 0:00,940,0,42.5,43,43
29/12/16 0:00,3300,19.01,14.63,30,30
5/1/17 0:00,190,0,0.5,22.49,34.03
10/1/17 0:00,330,20.49,10.49,10.49,10.49
17/1/17 0:00,190,0,0,39.49,39.49
25/1/17 0:00,170,27,0,23.5,44.5
31/1/17 0:00,200,8,10.5,10.5,10.5
8/2/17 0:00,560,0.5,38.01,40.01,40.51
14/2/17 0:00,230,0,10.5,19,19
21/2/17 0:00,180,0,1,2,2.5
28/2/17 0:00,220,0,0,0,0
7/3/17 0:00,330,2,6,7,10
14/3/17 0:00,360,9.5,8,30.5,50
21/3/17 0:00,290,0.93,2,2,2
28/3/17 0:00,130,0,0,5,29.01
4/4/17 0:00,2500,27.67,20,29,29
11/4/17 0:00,1300,0,0,0,0
19/4/17 0:00,340,0.5,0,12,13
27/4/17 0:00,52,0,0,0,0
6/11/17 0:00,20,0.5,4.5,5,16.01
12/11/17 0:00,110,0,0,0,0
21/11/17 0:00,20,0,0,0,0
29/11/17 0:00,285,0,1,1,1
3/12/17 0:00,169,0,0,0,0
12/12/17 0:00,106,0,1.5,2,2
18/12/17 0:00,216,1,0,0,0
27/12/17 0:00,364,0,12.5,12.5,13
3/1/18 0:00,4610,16,0,2,2
8/1/18 0:00,488,0.5,0,0,32.5
14/1/18 0:00,452,0,0,0,2.5
24/1/18 0:00,399,0,3.5,4.5,4.5
29/1/18 0:00,355,0,0,0,0
4/2/18 0:00,62,0,0,0.5,28.5
13/2/18 0:00,6490,0,22.35,64.5,69
19/2/18 0:00,985,0.5,0,0,10.5
25/2/18 0:00,644,0.5,0,0,20
6/3/18 0:00,249,9.5,0,0,0
12/3/18 0:00,146,0,0,0,0.5
18/3/18 0:00,295,0,0,2,4.5
27/3/18 0:00,295,0,0,2.5,16
5/4/18 0:00,175,0,0,5,5
8/4/18 0:00,20,0,1.5,1.5,1.5
15/4/18 0:00,96,0,0,0.5,30.01
23/4/18 0:00,161,0,0,1,4
12/11/18 0:00,228,0,0,0.5,24
18/11/18 0:00,504,6,0,0,0
26/11/18 0:00,1616,19.65,5.5,6.5,6.5
2/12/18 0:00,216,0.5,2,2,2
10/12/18 0:00,448,0,0,0,0
16/12/18 0:00,199,0,0,1.5,30
24/12/18 0:00,86,0,0,1.5,2.5
30/12/18 0:00,201,7,0.5,0.5,0.5
7/1/19 0:00,2490,17,2.5,2.5,2.5
13/1/19 0:00,160,1,0,0.5,6
22/1/19 0:00,359,0,0,4,7.5
27/1/19 0:00,323,17,1,1,5.5
4/2/19 0:00,20,0,0,14.89,18.5
10/2/19 0:00,109,0,0,0,0
19/2/19 0:00,397,0,0,0,0
24/2/19 0:00,794,30.5,3.5,47.51,51.01
4/3/19 0:00,141,0,0,0,0
10/3/19 0:00,228,0,7.36,19.5,19.5
17/3/19 0:00,327,0,0,0,29.51
24/3/19 0:00,122,0.5,0,0,0
1/4/19 0:00,8160,18,0,0,0
7/4/19 0:00,110,4.86,0,0,0
15/4/19 0:00,52,0,0,0,3
21/4/19 0:00,813,1,0,0,0
29/4/19 0:00,2046,38.5,6.5,16.5,16.5
4/11/19 0:00,187,0,0,0,0
10/11/19 0:00,880,15,0,0,0
18/11/19 0:00,6870,10.54,67.46,77.96,91.96
24/11/19 0:00,309,1.33,0,0,0
2/12/19 0:00,72,3,1,1,1
8/12/19 0:00,307,40.5,0,0,1
16/12/19 0:00,20,3.5,0,2,3
22/12/19 0:00,591,0,0,53,53
30/12/19 0:00,145,13.5,0,5.5,5.5
5/1/20 0:00,279,5,0,4,16
13/1/20 0:00,189,20,0,0,0
19/1/20 0:00,74,0,0,0,0
27/1/20 0:00,420,6,0,0,0
2/2/20 0:00,448,0,0,0,33.5
10/2/20 0:00,309,0,0,1,1
16/2/20 0:00,85,0,0,0,0
24/2/20 0:00,627,0,1,38.5,46.5
1/3/20 0:00,1576,0,14.5,14.5,14.5
9/3/20 0:00,1333,11,0,0,0
15/3/20 0:00,108,0,0,0,0
2/11/20 0:00,216,0,0.5,9.5,11
8/11/20 0:00,644,11.5,6.5,11,14
16/11/20 0:00,288,7,0,0,0
22/11/20 0:00,906,9.5,2,2,2
30/11/20 0:00,7270,14.5,45.5,46.5,53
6/12/20 0:00,243,0,6.5,6.5,26.5
14/12/20 0:00,108,0,0,0,2.5
20/12/20 0:00,173,0,0,0,0
28/12/20 0:00,246,0,0,0,0.5
3/1/21 0:00,272,3.5,0,0,0
11/1/21 0:00,243,0.5,0.5,0.5,14.5
17/1/21 0:00,98,9.5,0,0,0
26/1/21 0:00,211,1.5,0,14,19
31/1/21 0:00,41,0,0,0,0
9/2/21 0:00,175,0,0,0,0
14/2/21 0:00,84,0,0,0,0
22/2/21 0:00,282,0,0,0,0
1/3/21 0:00,120,0,0,0,0
8/3/21 0:00,259,0,27,32.5,32.5
14/3/21 0:00,256,0,0,0,22.5
28/3/21 0:00,269,1,0,0,0
5/4/21 0:00,350,8.5,2.5,2.5,4
11/4/21 0:00,602,3,7.5,7.5,7.5
19/4/21 0:00,231,0,0,1.5,6.5
25/4/21 0:00,285,2.5,0.5,0.5,0.5
2/11/21 0:00,1050,0,3.5,14,27.5
9/11/21 0:00,391,0,0,0,0
15/11/21 0:00,2098,10.5,24.5,69,76.5
23/11/21 0:00,958,0,15,56.5,56.5
30/11/21 0:00,8160,39.5,12.5,21.5,21.5
7/12/21 0:00,8660,127,24.5,29,34
14/12/21 0:00,10500,43,8,51,57
21/12/21 0:00,364,13,0,0,0
28/12/21 0:00,1274,22,0,0,0
4/1/22 0:00,201,0,0,0,0
11/1/22 0:00,355,4,0,0,0
18/1/22 0:00,146,0,0,0,0
25/1/22 0:00,368,2,0,0,0
1/2/22 0:00,228,0,0,0,0
8/2/22 0:00,1145,0,0.5,26,119
15/2/22 0:00,488,0,0,0.5,34.5
22/2/22 0:00,959,0,0,69.5,69.5
1/3/22 0:00,399,0,0,0,0
8/3/22 0:00,631,0,0,0,0
15/3/22 0:00,266,0,0,0.5,1.5
22/3/22 0:00,85,4.5,9,9,9
29/3/22 0:00,275,0,0,0,0
5/4/22 0:00,52,3,0,0,0
12/4/22 0:00,305,0,0,0,0
20/4/22 0:00,161,0,5.5,5.5,5.5
27/4/22 0:00,253,0.5,0,0.5,0.5
1/11/22 0:00,988,0,5.5,22.5,24
7/11/22 0:00,75,0,0,0,4.5
14/11/22 0:00,706,0,6.5,11.5,14
21/11/22 0:00,683,21,26.5,53,56
28/11/22 0:00,181,1.5,2,3,4.5
5/12/22 0:00,295,3,1,1.5,7
12/12/22 0:00,183,0.5,0,15,24
19/12/22 0:00,1616,2.5,13,30,35
26/12/22 0:00,309,0,0,4,20
2/1/23 0:00,213,0,0,0,0
9/1/23 0:00,450,0,1.5,3.5,21.5
16/1/23 0:00,305,0,0,0,0
24/1/23 0:00,586,0,2,2,7.5
30/1/23 0:00,336,0,1,13.5,30
7/2/23 0:00,389,3,5.5,24,24.5
13/2/23 0:00,272,8,1,1,1
20/2/23 0:00,683,1,0,0,0
27/2/23 0:00,262,0,0,1,1
6/3/23 0:00,313,0,1,11.5,12.5
13/3/23 0:00,295,11.5,0,0,4.5
20/3/23 0:00,379,0.5,0,8,31.5
27/3/23 0:00,1553,1.5,11.5,26.5,26.5
3/4/23 0:00,241,5,2.5,4.5,4.5
11/4/23 0:00,298,5,0.5,0.5,0.5
17/4/23 0:00,109,0,0,0,0
24/4/23 0:00,754,0,1.5,40,44
6/11/23 0:00,169,0,0,2.5,10
13/11/23 0:00,771,1,0,0,0
20/11/23 0:00,657,14,21,33.5,49.5
27/11/23 0:00,146,0,0,0,16
4/12/23 0:00,749,7.5,14.5,14.5,14.5
11/12/23 0:00,2600,0,49.5,49.5,49.5
18/12/23 0:00,512,5,3,35.5,36
27/12/23 0:00,482,2,0,19,38
3/1/24 0:00,327,0,0,0,12
8/1/24 0:00,158,0,0,4,8.5
15/1/24 0:00,443,3.5,0.5,0.5,1
23/1/24 0:00,414,9,0,3.5,10.5
29/1/24 0:00,1789,0,4.5,26,26
5/2/24 0:00,134,0,0.5,14,24
12/2/24 0:00,228,0,0.5,0.5,0.5
19/2/24 0:00,185,0.5,0,4.5,4.5
26/2/24 0:00,2224,0,21.5,22,22
4/3/24 0:00,323,32.5,12,26.5,26.5
11/3/24 0:00,389,0,0,0,4
18/3/24 0:00,10,3.5,1,1,1
25/3/24 0:00,345,0,0,0,0
2/4/24 0:00,63,0,0,0,0
8/4/24 0:00,1842,0,0,0,0
15/4/24 0:00,213,4,0.5,11,53.5
22/4/24 0:00,119,0,0.5,0.5,0.5
4/11/24 0:00,85,0,0,11,14.5
