E.coli date,E.coli value,Max flow value (past 24 hours),Max flow value (past 48 hours),Total flow value (past 48 hours),Max flow value (past 72 hours),Total flow value (past 72 hours),Max flow value (past 96 hours),Total flow value (past 96 hours),Max flow value (past 120 hours),Total flow value (past 120 hours),Max flow value (past 144 hours),Total flow value (past 144 hours),Max flow value (past 168 hours),Total flow value (past 168 hours)
2018-03-12,52.0,692.68,856.57,1549.25,938.03,2487.2799999999997,1935.79,4423.07,1935.79,5295.58,1935.79,6160.1,1935.79,7123.42
2018-03-18,10.0,543.9,574.28,1118.1799999999998,574.28,1680.1799999999998,574.28,2248.2999999999997,599.37,2847.6699999999996,631.72,3479.3899999999994,692.68,4172.07
2018-03-27,10.0,11766.66,11766.66,23239.68,11766.66,24950.96,11766.66,31891.22,11766.66,36013.3,11766.66,36449.72,11766.66,36894.380000000005
2018-04-05,52.0,840.8,913.13,1753.9299999999998,1127.22,2881.1499999999996,1201.1,4082.2499999999995,1490.97,5573.219999999999,2515.79,8089.009999999999,10441.19,18530.2
2018-04-08,63.0,678.83,735.29,1414.12,832.98,2247.1,840.8,3087.8999999999996,913.13,4001.0299999999997,1127.22,5128.25,1201.1,6329.35
2018-04-15,20.0,9271.2,14547.52,23818.72,14547.52,28253.980000000003,14547.52,28253.980000000003,14547.52,29476.780000000002,14547.52,30076.15,14547.52,30714.47
2018-04-23,20.0,1346.77,1553.82,2900.59,1835.52,4736.110000000001,2319.02,7055.130000000001,3121.96,10177.09,11042.39,21219.48,11042.39,23026.94
2018-11-12,10.0,5765.84,14257.9,20023.739999999998,14257.9,31060.28,14257.9,32399.55,14257.9,33843.55,14257.9,35857.29,14257.9,46893.83
2018-11-18,86.0,972.08,1074.74,2046.8200000000002,1239.57,3286.3900000000003,1455.95,4742.34,1774.78,6517.12,2316.24,8833.36,5765.84,14599.2
2018-11-26,495.0,579.06,655.77,1234.83,963.69,2198.52,963.69,2860.96,963.69,3564.29,963.69,4353.95,1144.9,5498.85
2018-12-02,52.0,548.88,623.07,1171.95,850.58,2022.5300000000002,1655.53,3678.0600000000004,1655.53,5219.370000000001,1655.53,5986.870000000001,1655.53,6565.93
