E.coli date,E.coli value,Max rainfall value (past 24 hours),Max rainfall value (past 48 hours),Total rainfall value (past 48 hours),Max rainfall value (past 72 hours),Total rainfall value (past 72 hours),Max rainfall value (past 96 hours),Total rainfall value (past 96 hours),Max rainfall value (past 120 hours),Total rainfall value (past 120 hours),Max rainfall value (past 144 hours),Total rainfall value (past 144 hours),Max rainfall value (past 168 hours),Total rainfall value (past 168 hours)
2018-04-08,63.0,0.0,0.0,0.0,0.0,0.0,5.53,5.53,5.53,5.53,5.53,5.53,5.53,7.19
2018-04-15,20.0,0.0,31.5,31.5,31.5,47.42,47.98,95.4,47.98,111.63000000000001,47.98,111.63000000000001,47.98,113.29
2018-04-23,20.0,1.11,3.31,4.42,3.31,4.97,6.63,11.6,6.63,17.13,32.05,49.17999999999999,32.05,49.17999999999999
2018-11-12,10.0,0.56,26.46,27.02,26.46,41.1,26.46,48.980000000000004,26.46,50.67,26.46,50.67,26.46,51.230000000000004
2018-11-18,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56
2018-11-26,495.0,1.13,1.13,1.13,3.38,4.51,3.38,7.89,3.38,10.709999999999999,3.38,10.709999999999999,6.75,17.46
2018-12-02,52.0,0.0,0.0,0.0,0.0,0.0,12.95,12.95,20.83,33.78,20.83,41.660000000000004,20.83,42.790000000000006
2018-12-10,97.0,0.0,0.0,0.0,14.64,14.64,14.64,15.77,25.9,41.67,25.9,43.92,25.9,43.92
2018-12-24,10.0,1.69,1.69,2.82,29.83,32.65,65.3,97.94999999999999,65.3,97.94999999999999,65.3,97.94999999999999,65.3,97.94999999999999
2018-12-30,379.0,0.0,0.0,0.0,0.56,0.56,24.77,25.33,24.77,25.33,24.77,25.33,24.77,27.02
2019-01-07,932.0,0.56,0.56,0.56,8.45,9.01,15.76,24.77,15.76,26.46,15.76,32.09,15.76,39.970000000000006
2019-01-13,73.0,0.56,6.19,6.75,6.19,6.75,6.19,6.75,19.14,25.89,19.14,28.14,19.14,28.7
2019-01-22,63.0,3.83,4.38,8.21,4.38,8.21,4.38,8.21,4.38,8.21,4.38,8.21,34.3,42.51
2019-01-27,457.0,0.0,3.83,3.83,3.83,4.92,3.83,4.92,3.83,4.92,3.83,8.75,4.38,13.129999999999999
2019-02-10,85.0,0.0,0.0,0.0,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,13.6,20.16
2019-02-18,73.0,0.0,7.12,7.12,7.12,7.12,7.12,9.31,7.12,9.31,7.12,9.31,7.12,9.31
2019-02-24,504.0,51.27,51.27,55.1,51.27,55.65,51.27,55.65,51.27,55.65,51.27,55.65,51.27,55.65
2019-03-04,96.0,0.0,0.0,0.0,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,32.39,33.480000000000004
2019-03-10,31.0,16.42,16.42,16.42,16.42,19.160000000000004,16.42,19.160000000000004,16.42,19.160000000000004,16.42,19.160000000000004,16.42,19.160000000000004
2019-03-17,41.0,0.0,32.28,32.28,32.28,51.43,32.28,51.43,32.28,51.43,32.28,51.43,32.28,56.36
2019-03-24,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,784.0,0.0,0.0,0.0,0.0,0.0,18.61,18.61,18.61,21.89,18.61,21.89,18.61,22.44
2019-04-07,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.35,20.35,20.35,20.35,20.35,20.35
2019-04-15,86.0,0.0,2.83,2.83,8.48,11.31,18.66,29.97,18.66,31.099999999999998,18.66,41.28,18.66,48.06
2019-04-29,1296.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,19.22,13.0,20.349999999999998
