E.coli date,E.coli value,Max flow date (past 24 hours),Max flow value (past 24 hours),Max flow value (past 120 hours),Total flow value (past 120 hours)
2011-11-02,1700.0,2011-11-01,1549.98,8523.98,18047.28
2011-11-09,600.0,2011-11-08,2349.77,8710.73,16945.05
2011-11-16,26000.0,2011-11-15,1810.6,33453.48,43930.920000000006
2011-11-23,220.0,2011-11-22,7556.67,7556.67,14681.359999999999
2011-11-30,190.0,2011-11-29,3272.35,19158.42,30042.51
2011-12-07,770.0,2011-12-06,1326.73,1326.73,5757.43
2011-12-14,240.0,2011-12-13,720.55,827.09,3534.4
2011-12-21,170.0,2011-12-20,1280.08,14614.81,31801.809999999998
2011-12-28,390.0,2011-12-27,640.29,866.49,3707.2
2012-01-04,290.0,2012-01-03,1447.91,4386.58,10665.920000000002
2012-01-11,21.0,2012-01-10,827.09,1024.75,3716.5
2012-01-18,310.0,2012-01-17,1257.16,5974.69,12469.659999999998
2012-01-25,200.0,2012-01-24,676.59,780.75,3344.23
2012-02-01,28.0,2012-01-31,440.51,4602.29,6673.26
2012-02-08,310.0,2012-02-07,440.51,2673.92,4724.57
2012-02-15,270.0,2012-02-14,423.85,2454.91,4622.9
2012-02-22,190.0,2012-02-21,402.24,492.8,2045.6999999999998
2012-02-29,52.0,2012-02-28,858.55,6029.9,13625.58
2012-03-07,1700.0,2012-03-06,2359.17,24923.5,55849.619999999995
2012-03-14,430.0,2012-03-13,4387.79,4387.79,8514.62
2012-03-21,350.0,2012-03-20,610.27,812.0,3581.18
2012-03-28,200.0,2012-03-27,1853.79,9006.41,23016.16
2012-04-03,110.0,2012-04-02,739.35,1239.92,4649.54
2012-04-11,41.0,2012-04-10,453.11,581.77,2541.33
2012-04-18,200.0,2012-04-17,365.73,1015.94,2590.2400000000002
2012-04-23,74.0,2012-04-22,313.71,355.74,1651.2
2012-11-07,120.0,2012-11-06,1054.67,4231.72,9686.189999999999
2012-11-14,120.0,2012-11-13,3643.83,4942.6,10805.95
2012-11-21,25.0,2012-11-20,896.59,2312.81,8232.75
2012-11-28,100.0,2012-11-27,932.04,932.04,3522.7599999999998
2012-12-05,120.0,2012-12-04,1949.1,2940.93,6403.629999999999
2012-12-12,140.0,2012-12-11,1472.71,9365.0,22800.93
2012-12-19,810.0,2012-12-18,662.33,941.14,3935.92
2012-12-27,300.0,2012-12-26,1363.18,5378.7,12774.66
2013-01-03,5200.0,2013-01-02,1826.86,32007.52,46801.189999999995
2013-01-09,220.0,2013-01-08,1054.67,10310.35,15607.810000000001
2013-01-16,670.0,2013-01-15,9663.76,9663.76,18510.54
2013-01-23,240.0,2013-01-22,2328.2,12323.28,20554.46
2013-01-30,630.0,2013-01-29,853.79,2469.39,6616.93
2013-02-07,1100.0,2013-02-06,14831.75,26791.1,43483.909999999996
2013-02-13,3900.0,2013-02-12,595.9,870.79,3569.81
2013-02-20,38.0,2013-02-19,441.45,540.74,2450.74
2013-02-27,270.0,2013-02-26,350.82,402.32,1860.9399999999998
2013-03-06,21.0,2013-03-05,336.37,336.37,1644.7799999999997
2013-03-13,420.0,2013-03-12,272.14,318.09,1463.6399999999999
2013-03-20,3000.0,2013-03-19,4010.49,4010.49,5078.519999999999
2013-03-26,470.0,2013-03-25,296.61,639.68,1949.46
2013-04-03,68.0,2013-04-02,495.58,836.95,2105.95
2013-04-10,140.0,2013-04-09,241.39,370.8,1352.43
2013-04-17,540.0,2013-04-16,1497.86,30999.83,45801.46000000001
2013-04-23,690.0,2013-04-22,2922.83,2922.83,6156.96
2013-11-06,110.0,2013-11-05,2088.87,21524.6,45264.95
2013-11-13,310.0,2013-11-12,914.0,1472.71,5708.400000000001
2013-11-20,190.0,2013-11-19,1094.29,3260.41,6730.62
2013-11-27,1300.0,2013-11-26,501.86,647.17,2875.0
2013-12-04,63.0,2013-12-03,527.52,2374.74,5971.0599999999995
2013-12-11,2100.0,2013-12-10,1218.45,5806.31,10420.6
2013-12-18,1200.0,2013-12-17,617.53,1006.4,3927.03
2013-12-20,3300.0,2013-12-19,540.74,779.31,3189.35
2013-12-27,440.0,2013-12-26,1510.55,1510.55,4290.509999999999
2014-01-03,92.0,2014-01-02,3519.74,3519.74,7131.780000000001
2014-01-08,160.0,2014-01-07,4558.26,26031.33,60532.170000000006
2014-01-15,330.0,2014-01-14,975.96,1570.58,5883.22
2014-01-22,3300.0,2014-01-21,740.96,7034.06,10557.6
2014-01-29,34.0,2014-01-28,1659.44,2039.36,6660.62
2014-02-04,260.0,2014-02-03,478.19,588.58,2663.74
2014-02-12,200.0,2014-02-11,414.4,1281.62,3025.65
2014-02-19,2800.0,2014-02-18,484.79,2403.86,5815.36
2014-02-26,8.0,2014-02-25,314.85,402.12,1875.21
2014-03-05,98.0,2014-03-04,337.2,337.2,1452.5
2014-03-12,54.0,2014-03-11,247.11,595.82,1681.46
2014-03-19,2900.0,2014-03-18,3825.17,3825.17,4879.87
2014-03-26,820.0,2014-03-25,314.85,574.22,1990.49
2014-04-02,150.0,2014-04-01,257.0,262.04,1285.04
2014-04-09,520.0,2014-04-08,204.77,223.25,1065.2800000000002
2014-04-15,860.0,2014-04-14,478.19,1024.09,2107.5299999999997
2014-04-22,310.0,2014-04-21,3583.12,9899.62,21753.93
2014-04-30,470.0,2014-04-29,17936.92,17936.92,27290.469999999998
2014-11-05,380.0,2014-11-04,25549.11,25549.11,36023.43
2014-11-12,280.0,2014-11-11,1317.0,1762.31,6879.41
2014-11-19,350.0,2014-11-18,2313.54,17072.16,23519.269999999997
2014-11-26,4500.0,2014-11-25,1841.86,7068.16,15831.87
2014-12-03,70.0,2014-12-02,1684.8,3814.05,13913.75
2014-12-10,,2014-12-09,3438.56,19963.75,55395.79
2014-12-17,390.0,2014-12-16,2261.84,10433.15,24107.059999999998
2014-12-22,310.0,2014-12-21,3112.64,7900.8,18610.980000000003
2014-12-29,90.0,2014-12-28,1210.52,2306.56,8339.4
2015-01-07,360.0,2015-01-06,883.93,5625.04,9881.900000000001
2015-01-14,52.0,2015-01-13,758.82,916.48,3776.26
2015-01-21,1200.0,2015-01-20,506.66,562.27,2632.81
2015-01-28,84.0,2015-01-27,370.29,424.74,1990.81
2015-02-03,2200.0,2015-02-02,3258.04,3258.04,4623.34
2015-02-11,34.0,2015-02-10,464.41,603.03,2464.27
2015-02-18,270.0,2015-02-17,319.38,374.68,1731.98
2015-02-25,380.0,2015-02-24,348.69,348.69,1573.4399999999998
2015-03-04,490.0,2015-03-03,267.54,303.09,1361.72
2015-03-11,190.0,2015-03-10,639.47,11280.79,18073.01
