E.coli date,E.coli value,Max flow date (past 24 hours),Max flow value (past 24 hours),Max flow value (past 168 hours),Total flow value (past 168 hours)
2011-11-02,1700.0,2011-11-01,1549.98,37607.23,56689.05
2011-11-09,600.0,2011-11-08,2349.77,8710.73,20882.359999999997
2011-11-16,26000.0,2011-11-15,1810.6,33453.48,77628.12000000001
2011-11-23,220.0,2011-11-22,7556.67,21415.32,37507.49
2011-11-30,190.0,2011-11-29,3272.35,19158.42,39183.58
2011-12-07,770.0,2011-12-06,1326.73,3617.1,10924.51
2011-12-14,240.0,2011-12-13,720.55,1190.21,5710.97
2011-12-21,170.0,2011-12-20,1280.08,14614.81,35405.579999999994
2011-12-28,390.0,2011-12-27,640.29,1074.42,5730.78
2012-01-04,290.0,2012-01-03,1447.91,4386.58,11826.460000000001
2012-01-11,21.0,2012-01-10,827.09,1034.54,5501.46
2012-01-18,310.0,2012-01-17,1257.16,5974.69,13667.849999999999
2012-01-25,200.0,2012-01-24,676.59,788.4,4802.0
2012-02-01,28.0,2012-01-31,440.51,4602.29,7577.09
2012-02-08,310.0,2012-02-07,440.51,4773.55,9911.079999999998
2012-02-15,270.0,2012-02-14,423.85,2454.91,5411.61
2012-02-22,190.0,2012-02-21,402.24,866.49,3423.1899999999996
2012-02-29,52.0,2012-02-28,858.55,11923.54,25910.180000000004
2012-03-07,1700.0,2012-03-06,2359.17,24923.5,57389.46
2012-03-14,430.0,2012-03-13,4387.79,4387.79,11774.91
2012-03-21,350.0,2012-03-20,610.27,1536.15,6022.610000000001
2012-03-28,200.0,2012-03-27,1853.79,9006.41,24193.780000000002
2012-04-03,110.0,2012-04-02,739.35,1853.79,7842.9800000000005
2012-04-11,41.0,2012-04-10,453.11,685.13,3858.7
2012-04-18,200.0,2012-04-17,365.73,1015.94,3490.71
2012-04-23,74.0,2012-04-22,313.71,375.93,2392.86
2012-11-07,120.0,2012-11-06,1054.67,4231.72,13143.299999999997
2012-11-14,120.0,2012-11-13,3643.83,4942.6,12666.140000000001
2012-11-21,25.0,2012-11-20,896.59,2312.81,10262.61
2012-11-28,100.0,2012-11-27,932.04,932.04,5081.74
2012-12-05,120.0,2012-12-04,1949.1,2940.93,8113.0199999999995
2012-12-12,140.0,2012-12-11,1472.71,22884.17,46377.85
2012-12-19,810.0,2012-12-18,662.33,1239.92,6240.33
