E.coli date,E.coli value,Max flow date (past 24 hours),Max flow value (past 24 hours),Max flow value (past 72 hours),Total flow value (past 72 hours)
2011-11-02,1700.0,2011-11-01,1549.98,2730.49,6208.469999999999
2011-11-09,600.0,2011-11-08,2349.77,8710.73,12422.84
2011-11-16,26000.0,2011-11-15,1810.6,2673.92,6552.1900000000005
2011-11-23,220.0,2011-11-22,7556.67,7556.67,10529.119999999999
2011-11-30,190.0,2011-11-29,3272.35,3272.35,7461.639999999999
2011-12-07,770.0,2011-12-06,1326.73,1326.73,3318.7200000000003
2011-12-14,240.0,2011-12-13,720.55,720.55,1994.1599999999999
2011-12-21,170.0,2011-12-20,1280.08,2768.61,5718.92
2011-12-28,390.0,2011-12-27,640.29,735.43,2052.31
2012-01-04,290.0,2012-01-03,1447.91,4386.58,7332.87
2012-01-11,21.0,2012-01-10,827.09,1024.75,2428.52
2012-01-18,310.0,2012-01-17,1257.16,5974.69,8523.49
2012-01-25,200.0,2012-01-24,676.59,780.75,2034.02
2012-02-01,28.0,2012-01-31,440.51,720.55,1636.05
2012-02-08,310.0,2012-02-07,440.51,536.64,1500.87
2012-02-15,270.0,2012-02-14,423.85,2454.91,3435.1899999999996
2012-02-22,190.0,2012-02-21,402.24,492.8,1251.1399999999999
2012-02-29,52.0,2012-02-28,858.55,2164.57,4107.6900000000005
2012-03-07,1700.0,2012-03-06,2359.17,21994.55,28674.309999999998
2012-03-14,430.0,2012-03-13,4387.79,4387.79,6260.97
2012-03-21,350.0,2012-03-20,610.27,700.42,1965.4099999999999
2012-03-28,200.0,2012-03-27,1853.79,7883.33,12019.31
2012-04-03,110.0,2012-04-02,739.35,870.79,2422.14
2012-04-11,41.0,2012-04-10,453.11,501.86,1432.04
2012-04-18,200.0,2012-04-17,365.73,396.94,1138.6000000000001
2012-04-23,74.0,2012-04-22,313.71,322.52,954.3199999999999
2012-11-07,120.0,2012-11-06,1054.67,4231.72,7235.49
2012-11-14,120.0,2012-11-13,3643.83,4942.6,9279.18
2012-11-21,25.0,2012-11-20,896.59,2191.74,4875.03
2012-11-28,100.0,2012-11-27,932.04,932.04,2182.66
2012-12-05,120.0,2012-12-04,1949.1,2940.93,5361.03
2012-12-12,140.0,2012-12-11,1472.71,4276.05,7629.62
2012-12-19,810.0,2012-12-18,662.33,771.23,2149.4300000000003
2012-12-27,300.0,2012-12-26,1363.18,2074.4,5052.3
2013-01-03,5200.0,2013-01-02,1826.86,32007.52,37212.86
2013-01-09,220.0,2013-01-08,1054.67,1375.05,3616.38
2013-01-16,670.0,2013-01-15,9663.76,9663.76,16557.36
2013-01-23,240.0,2013-01-22,2328.2,12323.28,16062.599999999999
2013-01-30,630.0,2013-01-29,853.79,1044.91,2830.74
2013-02-07,1100.0,2013-02-06,14831.75,26791.1,42211.659999999996
2013-02-13,3900.0,2013-02-12,595.9,692.75,1935.82
2013-02-20,38.0,2013-02-19,441.45,489.36,1401.81
2013-02-27,270.0,2013-02-26,350.82,365.73,1072.29
2013-03-06,21.0,2013-03-05,336.37,336.37,981.41
2013-03-13,420.0,2013-03-12,272.14,292.44,844.73
2013-03-20,3000.0,2013-03-19,4010.49,4010.49,4573.099999999999
2013-03-26,470.0,2013-03-25,296.61,327.0,928.6800000000001
2013-04-03,68.0,2013-04-02,495.58,836.95,1589.05
2013-04-10,140.0,2013-04-09,241.39,241.39,709.49
2013-04-17,540.0,2013-04-16,1497.86,30999.83,37680.450000000004
2013-04-23,690.0,2013-04-22,2922.83,2922.83,4027.75
2013-11-06,110.0,2013-11-05,2088.87,3418.46,8057.2
