E.coli date,E.coli value,Max flow date (past 24 hours),Max flow value (past 24 hours),Max flow value (past 96 hours),Total flow value (past 96 hours)
2011-11-02,1700.0,2011-11-01,1549.98,3314.83,9523.3
2011-11-09,600.0,2011-11-08,2349.77,8710.73,15191.45
2011-11-16,26000.0,2011-11-15,1810.6,3925.25,10477.44
2011-11-23,220.0,2011-11-22,7556.67,7556.67,12296.859999999999
2011-11-30,190.0,2011-11-29,3272.35,3422.45,10884.09
2011-12-07,770.0,2011-12-06,1326.73,1326.73,4465.79
2011-12-14,240.0,2011-12-13,720.55,720.55,2707.31
2011-12-21,170.0,2011-12-20,1280.08,11468.08,17187.0
2011-12-28,390.0,2011-12-27,640.29,788.4,2840.71
2012-01-04,290.0,2012-01-03,1447.91,4386.58,10082.380000000001
2012-01-11,21.0,2012-01-10,827.09,1024.75,3047.13
2012-01-18,310.0,2012-01-17,1257.16,5974.69,11945.939999999999
2012-01-25,200.0,2012-01-24,676.59,780.75,2739.8
2012-02-01,28.0,2012-01-31,440.51,4602.29,6238.34
2012-02-08,310.0,2012-02-07,440.51,549.78,2050.6499999999996
2012-02-15,270.0,2012-02-14,423.85,2454.91,4246.719999999999
2012-02-22,190.0,2012-02-21,402.24,492.8,1627.32
2012-02-29,52.0,2012-02-28,858.55,3487.99,7595.68
2012-03-07,1700.0,2012-03-06,2359.17,21994.55,30926.12
2012-03-14,430.0,2012-03-13,4387.79,4387.79,7296.17
2012-03-21,350.0,2012-03-20,610.27,803.77,2769.18
2012-03-28,200.0,2012-03-27,1853.79,9006.41,21025.72
2012-04-03,110.0,2012-04-02,739.35,987.48,3409.62
2012-04-11,41.0,2012-04-10,453.11,527.52,1959.56
2012-04-18,200.0,2012-04-17,365.73,435.7,1574.3000000000002
2012-04-23,74.0,2012-04-22,313.71,341.14,1295.46
2012-11-07,120.0,2012-11-06,1054.67,4231.72,8380.539999999999
2012-11-14,120.0,2012-11-13,3643.83,4942.6,10018.53
2012-11-21,25.0,2012-11-20,896.59,2191.74,5919.94
2012-11-28,100.0,2012-11-27,932.04,932.04,2822.3399999999997
2012-12-05,120.0,2012-12-04,1949.1,2940.93,5862.889999999999
2012-12-12,140.0,2012-12-11,1472.71,5806.31,13435.93
2012-12-19,810.0,2012-12-18,662.33,845.35,2994.78
