E.coli date,E.coli value,Max flow date (past 24 hours),Max flow value (past 24 hours),Max flow value (past 48 hours),Total flow value (past 48 hours)
2011-11-02,1700.0,2011-11-01,1549.98,1928.0,3477.98
2011-11-09,600.0,2011-11-08,2349.77,8710.73,11060.5
2011-11-16,26000.0,2011-11-15,1810.6,2067.67,3878.27
2011-11-23,220.0,2011-11-22,7556.67,7556.67,9093.64
2011-11-30,190.0,2011-11-29,3272.35,3272.35,5111.87
2011-12-07,770.0,2011-12-06,1326.73,1326.73,2303.6800000000003
2011-12-14,240.0,2011-12-13,720.55,720.55,1339.1599999999999
2011-12-21,170.0,2011-12-20,1280.08,1670.23,2950.31
2011-12-28,390.0,2011-12-27,640.29,676.59,1316.88
2012-01-04,290.0,2012-01-03,1447.91,1498.38,2946.29
2012-01-11,21.0,2012-01-10,827.09,1024.75,1851.8400000000001
2012-01-18,310.0,2012-01-17,1257.16,5974.69,7231.849999999999
2012-01-25,200.0,2012-01-24,676.59,780.75,1457.3400000000001
2012-02-01,28.0,2012-01-31,440.51,474.99,915.5
2012-02-08,310.0,2012-02-07,440.51,523.72,964.23
2012-02-15,270.0,2012-02-14,423.85,556.43,980.28
2012-02-22,190.0,2012-02-21,402.24,492.8,895.04
2012-02-29,52.0,2012-02-28,858.55,1084.57,1943.12
2012-03-07,1700.0,2012-03-06,2359.17,4320.59,6679.76
2012-03-14,430.0,2012-03-13,4387.79,4387.79,5319.83
2012-03-21,350.0,2012-03-20,610.27,654.72,1264.99
2012-03-28,200.0,2012-03-27,1853.79,7883.33,9737.119999999999
2012-04-03,110.0,2012-04-02,739.35,812.0,1551.35
2012-04-11,41.0,2012-04-10,453.11,477.07,930.1800000000001
2012-04-18,200.0,2012-04-17,365.73,375.93,741.6600000000001
2012-04-23,74.0,2012-04-22,313.71,318.09,631.8
2012-11-07,120.0,2012-11-06,1054.67,1949.1,3003.77
2012-11-14,120.0,2012-11-13,3643.83,4942.6,8586.43
2012-11-21,25.0,2012-11-20,896.59,1786.7,2683.29
2012-11-28,100.0,2012-11-27,932.04,932.04,1527.94
2012-12-05,120.0,2012-12-04,1949.1,2940.93,4890.03
2012-12-12,140.0,2012-12-11,1472.71,1880.86,3353.5699999999997
2012-12-19,810.0,2012-12-18,662.33,715.87,1378.2
2012-12-27,300.0,2012-12-26,1363.18,1614.72,2977.9
2013-01-03,5200.0,2013-01-02,1826.86,3378.48,5205.34
2013-01-09,220.0,2013-01-08,1054.67,1186.66,2241.33
2013-01-16,670.0,2013-01-15,9663.76,9663.76,15833.7
2013-01-23,240.0,2013-01-22,2328.2,12323.28,14651.48
2013-01-30,630.0,2013-01-29,853.79,932.04,1785.83
2013-02-07,1100.0,2013-02-06,14831.75,26791.1,41622.85
2013-02-13,3900.0,2013-02-12,595.9,647.17,1243.07
2013-02-20,38.0,2013-02-19,441.45,471.0,912.45
2013-02-27,270.0,2013-02-26,350.82,355.74,706.56
2013-03-06,21.0,2013-03-05,336.37,336.37,658.89
2013-03-13,420.0,2013-03-12,272.14,280.15,552.29
2013-03-20,3000.0,2013-03-19,4010.49,4010.49,4324.2
2013-03-26,470.0,2013-03-25,296.61,305.07,601.6800000000001
2013-04-03,68.0,2013-04-02,495.58,836.95,1332.53
2013-04-10,140.0,2013-04-09,241.39,241.39,468.1
2013-04-17,540.0,2013-04-16,1497.86,30999.83,32497.690000000002
2013-04-23,690.0,2013-04-22,2922.83,2922.83,3424.69
